no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,required_car_parking_space,lead_time,arrival_month,arrival_date,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,arrival_year,no_of_special_requests,room_type_reserved,market_segment_type,type_of_meal_plan,booking_status
2,0,0,5,0,140,12,29,0,0,0,70,2017,0,Room_Type 1,Offline,Meal Plan 1,Not_Canceled
2,0,0,3,0,66,11,10,0,0,0,107,2018,1,Room_Type 1,Online,Not Selected,Not_Canceled
2,0,0,1,0,2,7,9,0,0,0,116,2018,1,Room_Type 1,Online,Meal Plan 1,Not_Canceled
1,0,0,1,0,43,10,13,0,0,0,75,2017,0,Room_Type 1,Offline,Meal Plan 1,Not_Canceled
1,0,0,1,0,0,3,17,0,0,0,97,2018,1,Room_Type 1,Online,Not Selected,Not_Canceled
1,0,2,0,0,4,1,10,0,0,0,83,2018,1,Room_Type 1,Online,Meal Plan 1,Not_Canceled
1,0,1,2,0,219,9,4,0,0,0,77,2017,0,Room_Type 1,Offline,Meal Plan 1,Not_Canceled
1,0,1,3,0,33,11,7,0,0,0,143,2018,0,Room_Type 1,Online,Meal Plan 1,Not_Canceled
2,0,2,2,0,2,8,8,0,0,0,90,2017,2,Room_Type 1,Online,Meal Plan 1,Not_Canceled
2,0,0,5,0,140,12,29,0,0,0,70,2017,0,Room_Type 1,Offline,Meal Plan 1,Not_Canceled
2,0,2,5,0,163,9,10,0,0,0,97,2018,0,Room_Type 1,Offline,Meal Plan 1,Not_Canceled
2,0,0,4,0,91,12,30,0,0,0,61,2017,0,Room_Type 1,Offline,Not Selected,Not_Canceled
2,0,0,2,0,112,4,8,0,0,0,66,2018,1,Room_Type 1,Online,Not Selected,Not_Canceled
2,0,2,2,0,180,11,27,0,0,0,85,2018,0,Room_Type 1,Online,Meal Plan 1,Canceled
2,0,2,1,0,131,10,15,0,0,0,132,2018,0,Room_Type 4,Online,Meal Plan 1,Canceled
2,0,1,1,0,66,4,4,0,0,0,105,2018,1,Room_Type 1,Online,Meal Plan 1,Not_Canceled
2,1,0,2,0,26,4,15,0,0,0,145,2018,2,Room_Type 1,Online,Meal Plan 1,Not_Canceled
2,0,0,2,0,257,7,1,0,0,0,102,2017,0,Room_Type 1,Online,Meal Plan 2,Canceled
3,0,2,3,0,126,7,23,0,0,0,130,2018,2,Room_Type 4,Online,Meal Plan 1,Not_Canceled
1,0,0,1,0,2,10,13,0,0,0,110,2018,0,Room_Type 1,Offline,Meal Plan 1,Not_Canceled
2,0,2,2,0,134,6,5,0,0,0,110,2018,1,Room_Type 1,Online,Not Selected,Not_Canceled
2,0,1,1,0,24,6,13,0,0,0,79,2018,0,Room_Type 1,Online,Not Selected,Not_Canceled
1,0,2,5,0,1,8,8,0,0,0,88,2017,2,Room_Type 1,Online,Meal Plan 1,Not_Canceled
2,0,2,2,0,4,12,26,0,0,0,62,2017,2,Room_Type 1,Offline,Not Selected,Not_Canceled
3,0,0,2,0,219,8,30,0,0,0,153,2018,1,Room_Type 6,Online,Meal Plan 1,Canceled
2,0,1,3,0,22,9,17,0,0,0,119,2017,3,Room_Type 1,Online,Meal Plan 1,Not_Canceled
2,0,0,1,1,21,5,4,0,0,0,165,2018,1,Room_Type 4,Online,Meal Plan 1,Not_Canceled
2,0,0,5,0,128,10,11,0,0,0,132,2018,0,Room_Type 4,Online,Meal Plan 1,Canceled
2,0,0,4,0,270,4,20,0,0,0,80,2018,0,Room_Type 1,Offline,Meal Plan 1,Not_Canceled
2,0,2,1,0,124,8,8,0,0,0,95,2017,0,Room_Type 1,Online,Meal Plan 2,Canceled
2,0,0,4,0,50,11,16,0,0,0,65,2018,1,Room_Type 1,Online,Meal Plan 1,Not_Canceled
1,0,2,4,0,69,6,12,0,0,0,120,2018,0,Room_Type 1,Online,Meal Plan 1,Canceled
2,0,2,1,0,197,10,29,0,0,0,96,2018,0,Room_Type 1,Online,Meal Plan 1,Canceled
1,0,1,1,1,17,8,22,0,0,0,67,2018,1,Room_Type 1,Corporate,Meal Plan 1,Not_Canceled
2,0,1,3,0,111,10,5,0,0,0,72,2017,0,Room_Type 1,Offline,Meal Plan 1,Not_Canceled
2,0,0,3,0,87,6,9,0,0,0,98,2018,0,Room_Type 1,Online,Meal Plan 1,Not_Canceled
2,0,1,4,0,3,3,7,0,0,0,93,2018,1,Room_Type 1,Online,Not Selected,Canceled
2,0,0,1,0,1,7,7,0,0,0,94,2018,0,Room_Type 4,Corporate,Meal Plan 1,Not_Canceled
1,0,0,2,0,40,11,4,0,0,0,101,2017,3,Room_Type 1,Online,Meal Plan 1,Not_Canceled
3,0,0,2,0,141,9,23,0,0,0,164,2018,1,Room_Type 4,Online,Meal Plan 1,Not_Canceled
2,0,2,3,0,0,3,20,0,0,0,124,2018,0,Room_Type 1,Online,Meal Plan 1,Not_Canceled
1,0,4,7,0,4,2,14,0,0,0,106,2018,0,Room_Type 4,Online,Meal Plan 1,Not_Canceled
2,0,0,1,0,14,4,29,0,0,0,65,2018,0,Room_Type 1,Offline,Meal Plan 1,Not_Canceled
2,0,2,2,0,87,4,9,0,0,0,81,2018,2,Room_Type 1,Online,Not Selected,Not_Canceled
2,0,0,3,0,17,10,1,0,0,0,113,2017,2,Room_Type 1,Online,Meal Plan 1,Not_Canceled
2,0,2,1,0,65,10,23,0,0,0,81,2018,1,Room_Type 1,Offline,Meal Plan 1,Not_Canceled
2,0,1,2,0,158,3,25,0,0,0,70,2018,0,Room_Type 1,Offline,Meal Plan 1,Not_Canceled
2,1,1,3,0,230,8,29,0,0,0,73,2018,1,Room_Type 4,Online,Meal Plan 1,Not_Canceled
2,0,0,1,0,12,1,5,0,0,0,58,2018,0,Room_Type 1,Offline,Meal Plan 1,Not_Canceled
2,0,0,2,0,57,9,21,0,0,0,102,2018,0,Room_Type 1,Offline,Meal Plan 1,Not_Canceled
2,0,0,2,0,102,10,16,0,0,0,102,2017,0,Room_Type 1,Online,Meal Plan 2,Canceled
2,2,0,3,0,199,7,26,0,0,0,168,2018,1,Room_Type 6,Online,Meal Plan 1,Canceled
2,0,0,3,0,9,12,30,0,0,0,143,2017,1,Room_Type 4,Online,Meal Plan 1,Not_Canceled
2,0,1,2,0,40,6,27,0,0,0,86,2018,0,Room_Type 1,Offline,Meal Plan 1,Not_Canceled
1,0,0,1,0,84,9,7,1,3,14,65,2018,0,Room_Type 1,Corporate,Meal Plan 1,Not_Canceled
2,0,2,4,0,327,9,9,0,0,0,88,2017,0,Room_Type 1,Offline,Meal Plan 2,Not_Canceled
1,0,0,3,0,21,10,25,0,0,0,83,2018,0,Room_Type 1,Online,Not Selected,Canceled
2,0,0,1,0,100,10,16,0,0,0,108,2017,0,Room_Type 1,Online,Meal Plan 2,Canceled
2,1,1,3,0,39,4,11,0,0,0,122,2018,2,Room_Type 1,Online,Meal Plan 1,Not_Canceled
3,0,0,1,0,41,9,1,0,0,0,142,2018,2,Room_Type 4,Online,Meal Plan 1,Not_Canceled
2,1,0,1,0,2,7,1,0,0,0,167,2018,1,Room_Type 1,Online,Meal Plan 1,Not_Canceled
2,0,2,1,0,59,12,27,0,0,0,112,2017,0,Room_Type 1,Offline,Meal Plan 1,Not_Canceled
2,0,1,3,0,60,10,12,0,0,0,65,2017,1,Room_Type 1,Offline,Meal Plan 1,Not_Canceled
2,0,0,2,0,63,9,4,0,0,0,116,2017,0,Room_Type 1,Offline,Meal Plan 2,Not_Canceled
2,0,0,1,0,55,4,6,0,0,0,104,2018,0,Room_Type 1,Offline,Meal Plan 2,Not_Canceled
2,0,2,3,0,285,10,16,0,0,0,82,2018,0,Room_Type 2,Online,Meal Plan 1,Canceled
1,0,1,1,0,62,11,7,0,0,0,143,2018,0,Room_Type 1,Online,Not Selected,Not_Canceled
1,0,0,1,0,7,5,31,0,0,0,0,2018,0,Room_Type 1,Complementary,Meal Plan 1,Not_Canceled
2,0,0,3,0,71,5,10,0,0,0,126,2018,1,Room_Type 1,Offline,Meal Plan 2,Not_Canceled
1,0,0,2,0,13,7,20,0,0,0,95,2018,0,Room_Type 1,Corporate,Meal Plan 1,Not_Canceled
2,0,1,1,0,48,9,19,0,0,0,136,2018,1,Room_Type 1,Online,Meal Plan 1,Not_Canceled
2,0,2,1,0,71,7,5,0,0,0,56,2017,0,Room_Type 1,Online,Not Selected,Canceled
3,0,1,1,0,99,8,8,0,0,0,150,2018,2,Room_Type 4,Online,Meal Plan 1,Not_Canceled
1,0,0,1,0,9,12,10,1,0,3,65,2017,0,Room_Type 1,Corporate,Meal Plan 1,Not_Canceled
2,0,2,3,0,212,5,20,0,0,0,78,2018,0,Room_Type 1,Online,Meal Plan 1,Canceled
1,0,1,2,0,118,6,6,0,0,0,110,2018,0,Room_Type 1,Offline,Meal Plan 1,Not_Canceled
2,0,1,1,0,7,5,21,0,0,0,56,2018,2,Room_Type 1,Offline,Meal Plan 2,Not_Canceled
2,0,2,1,0,2,10,18,0,0,0,123,2017,0,Room_Type 1,Corporate,Meal Plan 1,Not_Canceled
1,0,0,2,0,6,12,10,0,0,0,0,2017,0,Room_Type 1,Online,Meal Plan 2,Not_Canceled
2,0,0,1,0,143,8,13,0,0,0,104,2018,1,Room_Type 1,Online,Not Selected,Not_Canceled
2,0,1,3,0,7,12,29,0,0,0,126,2018,2,Room_Type 4,Online,Meal Plan 1,Not_Canceled
2,1,2,4,0,149,8,3,0,0,0,119,2018,1,Room_Type 1,Online,Meal Plan 1,Not_Canceled
2,0,2,2,0,204,9,3,0,0,0,81,2018,2,Room_Type 1,Offline,Meal Plan 1,Not_Canceled
2,0,2,2,0,228,9,10,0,0,0,90,2018,1,Room_Type 1,Online,Not Selected,Not_Canceled
2,0,0,3,0,76,11,10,0,0,0,121,2018,2,Room_Type 1,Online,Meal Plan 1,Not_Canceled
1,0,1,2,0,15,2,5,0,0,0,100,2018,0,Room_Type 7,Corporate,Meal Plan 1,Not_Canceled
1,0,0,1,0,2,6,30,0,0,0,127,2018,0,Room_Type 1,Online,Not Selected,Not_Canceled
2,0,2,2,0,244,10,22,0,0,0,91,2018,2,Room_Type 1,Online,Meal Plan 1,Not_Canceled
2,0,2,3,0,6,9,13,0,0,0,103,2017,1,Room_Type 4,Online,Meal Plan 1,Not_Canceled
2,0,2,1,0,13,10,9,0,0,0,178,2018,1,Room_Type 1,Online,Meal Plan 1,Not_Canceled
2,0,2,2,0,21,6,12,0,0,0,157,2018,1,Room_Type 1,Online,Meal Plan 2,Not_Canceled
1,0,0,1,0,0,2,6,0,0,0,79,2018,0,Room_Type 1,Online,Meal Plan 1,Not_Canceled
2,0,0,4,0,67,11,1,0,0,0,94,2018,3,Room_Type 1,Online,Meal Plan 1,Not_Canceled
2,0,0,2,0,1,9,9,0,0,0,142,2017,1,Room_Type 1,Online,Meal Plan 1,Canceled
2,0,2,1,0,108,4,30,0,0,0,77,2018,1,Room_Type 1,Online,Meal Plan 1,Not_Canceled
1,0,2,1,0,116,2,28,0,0,0,61,2018,0,Room_Type 1,Online,Meal Plan 1,Canceled
3,0,1,5,0,129,7,26,0,0,0,133,2018,0,Room_Type 4,Online,Meal Plan 1,Canceled
1,0,1,1,0,32,10,24,0,0,0,120,2017,1,Room_Type 1,Online,Meal Plan 1,Not_Canceled
1,0,1,0,0,64,10,30,0,0,0,89,2018,0,Room_Type 1,Online,Meal Plan 1,Canceled
2,0,0,2,0,21,11,5,0,0,0,76,2017,0,Room_Type 1,Online,Meal Plan 1,Not_Canceled
3,0,0,2,0,173,12,16,0,0,0,122,2018,0,Room_Type 4,Online,Meal Plan 1,Not_Canceled
2,0,0,2,0,122,4,15,0,0,0,85,2018,0,Room_Type 1,Online,Meal Plan 1,Canceled
1,0,0,2,0,9,6,3,0,0,0,0,2018,0,Room_Type 1,Online,Meal Plan 1,Not_Canceled
2,0,0,2,0,320,8,18,0,0,0,115,2018,1,Room_Type 1,Online,Meal Plan 2,Canceled
3,0,0,4,0,86,10,25,0,0,0,123,2018,1,Room_Type 4,Online,Meal Plan 1,Not_Canceled
2,0,0,2,0,9,9,29,0,0,0,99,2018,0,Room_Type 4,Corporate,Meal Plan 1,Not_Canceled
2,0,1,2,0,23,11,11,0,0,0,125,2018,5,Room_Type 4,Online,Meal Plan 1,Not_Canceled
2,0,0,3,0,87,10,26,0,0,0,104,2018,0,Room_Type 4,Online,Meal Plan 1,Canceled
2,0,2,3,0,125,6,17,0,0,0,129,2018,1,Room_Type 4,Online,Meal Plan 1,Not_Canceled
2,0,0,1,0,33,10,6,0,0,0,126,2018,1,Room_Type 1,Online,Not Selected,Not_Canceled
1,0,0,3,0,166,11,1,0,0,0,110,2018,0,Room_Type 1,Online,Meal Plan 1,Canceled
1,0,0,1,0,14,11,3,0,0,0,112,2018,1,Room_Type 1,Online,Meal Plan 1,Canceled
2,0,0,3,0,93,5,11,0,0,0,105,2018,0,Room_Type 1,Offline,Meal Plan 2,Not_Canceled
2,0,0,1,0,219,9,4,0,0,0,108,2017,0,Room_Type 1,Online,Meal Plan 2,Canceled
2,0,0,4,0,259,12,7,0,0,0,74,2018,1,Room_Type 1,Online,Meal Plan 1,Not_Canceled
2,0,0,2,0,69,4,27,0,0,0,105,2018,0,Room_Type 1,Online,Meal Plan 1,Canceled
2,1,0,3,0,203,8,17,0,0,0,88,2018,0,Room_Type 1,Online,Meal Plan 1,Canceled
1,0,0,2,0,64,5,17,0,0,0,130,2018,0,Room_Type 1,Corporate,Meal Plan 1,Not_Canceled
2,0,1,1,0,247,6,6,0,0,0,115,2018,1,Room_Type 1,Online,Meal Plan 2,Canceled
2,0,2,4,0,13,2,5,0,0,0,79,2018,0,Room_Type 1,Online,Not Selected,Canceled
3,0,2,1,0,138,8,22,0,0,0,139,2017,1,Room_Type 1,Offline,Meal Plan 2,Not_Canceled
1,0,5,10,0,3,5,9,0,0,0,110,2018,0,Room_Type 4,Aviation,Meal Plan 1,Canceled
2,0,1,3,0,263,12,26,0,0,0,64,2018,0,Room_Type 1,Online,Not Selected,Canceled
2,0,2,1,0,19,5,7,0,0,0,121,2018,0,Room_Type 1,Online,Meal Plan 1,Canceled
2,0,0,1,0,15,9,17,0,0,0,115,2017,3,Room_Type 4,Online,Not Selected,Not_Canceled
2,0,0,3,0,15,11,29,0,0,0,106,2018,2,Room_Type 1,Online,Meal Plan 1,Not_Canceled
2,0,1,2,0,9,12,16,0,0,0,78,2018,0,Room_Type 1,Online,Not Selected,Not_Canceled
2,0,2,2,0,83,5,7,0,0,0,125,2018,1,Room_Type 1,Online,Meal Plan 1,Not_Canceled
2,0,2,3,0,60,4,2,0,0,0,108,2018,1,Room_Type 4,Online,Meal Plan 1,Not_Canceled
2,0,1,0,0,49,7,11,0,0,0,93,2018,0,Room_Type 1,Online,Not Selected,Canceled
2,1,1,1,0,132,6,11,0,0,0,143,2018,2,Room_Type 1,Online,Meal Plan 1,Not_Canceled
1,0,2,1,0,93,10,15,0,0,0,115,2018,0,Room_Type 1,Online,Meal Plan 1,Canceled
2,0,2,0,0,19,10,2,0,0,0,85,2018,0,Room_Type 1,Offline,Meal Plan 1,Not_Canceled
2,0,0,2,0,101,8,9,0,0,0,166,2018,0,Room_Type 4,Online,Meal Plan 2,Canceled
2,0,1,3,0,43,12,8,0,0,0,88,2018,1,Room_Type 1,Online,Meal Plan 1,Not_Canceled
1,0,0,1,0,5,4,5,0,0,0,89,2018,0,Room_Type 1,Online,Not Selected,Not_Canceled
2,0,2,3,0,192,9,25,0,0,0,102,2017,0,Room_Type 1,Online,Meal Plan 1,Canceled
2,0,0,4,0,259,10,5,0,0,0,89,2018,0,Room_Type 1,Online,Meal Plan 1,Canceled
1,0,0,1,0,8,12,6,0,0,0,72,2018,1,Room_Type 1,Online,Meal Plan 1,Not_Canceled
2,0,1,2,0,140,9,12,0,0,0,110,2018,3,Room_Type 4,Online,Meal Plan 1,Not_Canceled
2,0,2,2,0,45,10,16,0,0,0,79,2017,2,Room_Type 4,Online,Meal Plan 1,Not_Canceled
2,0,1,1,0,4,9,7,0,0,0,134,2017,2,Room_Type 1,Online,Meal Plan 1,Not_Canceled
2,0,0,2,0,86,9,24,0,0,0,105,2017,0,Room_Type 1,Offline,Meal Plan 1,Not_Canceled
1,0,2,1,0,116,2,28,0,0,0,61,2018,0,Room_Type 1,Online,Meal Plan 1,Canceled
2,0,0,1,0,0,2,17,1,0,18,0,2018,2,Room_Type 6,Complementary,Meal Plan 1,Not_Canceled
2,0,0,4,0,275,12,28,0,0,0,72,2018,0,Room_Type 1,Online,Not Selected,Canceled
2,0,1,3,0,65,9,5,0,0,0,124,2018,0,Room_Type 4,Online,Meal Plan 1,Not_Canceled
2,0,0,2,0,22,5,31,0,0,0,109,2018,1,Room_Type 1,Online,Not Selected,Not_Canceled
3,0,2,2,0,27,9,9,0,0,0,167,2018,0,Room_Type 5,Online,Meal Plan 1,Not_Canceled
2,0,1,1,0,43,4,11,0,0,0,95,2018,1,Room_Type 1,Online,Not Selected,Not_Canceled
2,0,0,2,0,93,4,20,0,0,0,96,2018,1,Room_Type 1,Online,Meal Plan 1,Not_Canceled
1,0,0,3,0,37,10,13,0,0,0,95,2018,0,Room_Type 1,Offline,Meal Plan 1,Not_Canceled
2,0,1,5,0,64,9,6,0,0,0,137,2018,0,Room_Type 4,Online,Meal Plan 1,Canceled
2,0,0,3,0,279,10,12,0,0,0,110,2018,0,Room_Type 1,Online,Meal Plan 1,Canceled
2,0,2,2,0,11,3,26,0,0,0,134,2018,1,Room_Type 1,Online,Meal Plan 1,Not_Canceled
2,0,0,3,0,37,10,13,0,0,0,105,2018,0,Room_Type 1,Offline,Meal Plan 1,Not_Canceled
1,0,2,1,0,1,2,28,0,0,0,60,2018,0,Room_Type 1,Online,Meal Plan 1,Canceled
2,0,1,3,0,113,6,30,0,0,0,85,2018,0,Room_Type 1,Online,Meal Plan 1,Canceled
1,0,1,1,0,83,3,7,0,0,0,60,2018,0,Room_Type 1,Online,Not Selected,Not_Canceled
3,0,1,3,0,100,5,19,0,0,0,136,2018,2,Room_Type 1,Online,Meal Plan 1,Not_Canceled
1,0,0,2,0,6,12,6,0,0,0,79,2018,0,Room_Type 1,Online,Not Selected,Not_Canceled
2,0,0,3,0,146,12,29,0,0,0,75,2017,0,Room_Type 1,Offline,Meal Plan 1,Not_Canceled
1,0,0,1,1,2,5,4,1,0,3,67,2018,1,Room_Type 1,Corporate,Meal Plan 1,Not_Canceled
2,0,0,2,0,125,12,11,0,0,0,72,2017,1,Room_Type 1,Online,Meal Plan 1,Canceled
1,0,2,1,0,24,12,5,0,0,0,47,2017,0,Room_Type 1,Corporate,Meal Plan 1,Not_Canceled
2,0,2,1,0,80,11,19,0,0,0,94,2018,1,Room_Type 1,Online,Meal Plan 1,Not_Canceled
2,0,1,1,0,0,10,12,0,0,0,126,2017,0,Room_Type 1,Online,Meal Plan 1,Not_Canceled
1,0,0,2,0,64,5,17,0,0,0,130,2018,0,Room_Type 1,Corporate,Meal Plan 1,Not_Canceled
2,0,0,3,0,34,9,23,0,0,0,225,2017,0,Room_Type 1,Online,Meal Plan 2,Canceled
2,0,0,1,0,34,10,8,0,0,0,86,2017,2,Room_Type 1,Online,Not Selected,Not_Canceled
1,0,0,1,0,1,11,19,0,0,0,65,2017,0,Room_Type 1,Corporate,Meal Plan 1,Canceled
2,1,1,3,0,166,6,23,0,0,0,110,2018,2,Room_Type 4,Online,Meal Plan 1,Canceled
2,0,0,4,0,20,12,28,0,0,0,131,2018,1,Room_Type 4,Online,Meal Plan 1,Not_Canceled
2,0,0,2,0,102,10,16,0,0,0,102,2017,0,Room_Type 1,Online,Meal Plan 2,Canceled
2,0,6,14,0,6,1,10,0,0,0,88,2018,1,Room_Type 1,Online,Meal Plan 1,Not_Canceled
1,0,0,1,0,3,10,6,0,0,0,0,2018,0,Room_Type 1,Complementary,Meal Plan 1,Not_Canceled
2,1,1,2,0,35,3,25,0,0,0,140,2018,2,Room_Type 1,Online,Meal Plan 1,Not_Canceled
2,0,0,2,0,56,12,16,0,0,0,79,2018,1,Room_Type 1,Online,Not Selected,Not_Canceled
2,2,1,1,0,140,7,2,0,0,0,89,2018,1,Room_Type 2,Online,Meal Plan 1,Not_Canceled
2,0,0,2,0,156,8,23,0,0,0,95,2018,1,Room_Type 1,Online,Not Selected,Not_Canceled
2,0,0,1,0,31,2,4,0,0,0,77,2018,0,Room_Type 1,Corporate,Meal Plan 1,Not_Canceled
2,0,1,0,0,18,9,12,0,0,0,89,2018,0,Room_Type 1,Online,Not Selected,Not_Canceled
3,0,1,4,0,146,10,19,0,0,0,203,2018,1,Room_Type 4,Online,Meal Plan 2,Canceled
2,0,2,1,0,0,10,15,0,0,0,112,2018,0,Room_Type 1,Online,Not Selected,Not_Canceled
1,0,0,3,0,166,11,1,0,0,0,110,2018,0,Room_Type 1,Online,Meal Plan 1,Canceled
2,0,1,3,0,72,3,24,0,0,0,62,2018,0,Room_Type 1,Offline,Meal Plan 1,Not_Canceled
1,0,2,5,0,18,10,3,1,1,0,78,2017,0,Room_Type 1,Online,Not Selected,Not_Canceled
2,0,1,2,0,418,9,26,0,0,0,75,2018,0,Room_Type 1,Online,Meal Plan 1,Canceled
2,0,1,2,0,121,6,24,0,0,0,90,2018,0,Room_Type 1,Online,Meal Plan 1,Canceled
2,0,1,4,0,275,10,5,0,0,0,90,2018,0,Room_Type 1,Online,Meal Plan 1,Canceled
2,0,2,3,0,96,5,7,0,0,0,120,2018,0,Room_Type 1,Online,Meal Plan 1,Canceled
2,0,2,4,0,28,10,7,0,0,0,165,2018,2,Room_Type 4,Online,Meal Plan 1,Not_Canceled
2,0,1,4,0,82,4,6,0,0,0,99,2018,0,Room_Type 4,Online,Meal Plan 1,Canceled
1,0,1,0,0,4,1,25,0,0,0,59,2018,0,Room_Type 1,Corporate,Meal Plan 1,Not_Canceled
1,0,0,3,1,5,4,5,1,0,1,101,2018,0,Room_Type 1,Aviation,Meal Plan 1,Not_Canceled
1,0,2,2,0,45,2,6,0,0,0,47,2018,1,Room_Type 1,Online,Not Selected,Not_Canceled
2,0,1,3,0,65,10,17,0,0,0,119,2018,2,Room_Type 1,Online,Meal Plan 1,Not_Canceled
2,0,0,1,0,0,1,2,0,0,0,75,2018,0,Room_Type 1,Online,Meal Plan 1,Not_Canceled
2,0,2,4,0,32,11,12,0,0,0,92,2018,0,Room_Type 1,Online,Meal Plan 1,Not_Canceled
2,0,0,2,0,17,3,17,0,0,0,80,2018,0,Room_Type 1,Corporate,Meal Plan 1,Canceled
2,0,1,4,0,154,6,29,0,0,0,72,2018,1,Room_Type 1,Offline,Meal Plan 1,Not_Canceled
2,0,0,2,0,47,9,9,0,0,0,125,2018,1,Room_Type 1,Online,Not Selected,Not_Canceled
3,0,1,3,0,26,10,12,0,0,0,108,2017,0,Room_Type 4,Offline,Not Selected,Not_Canceled
2,0,0,2,0,97,10,11,0,0,0,97,2018,1,Room_Type 1,Online,Not Selected,Canceled
2,0,0,2,0,257,7,1,0,0,0,102,2017,0,Room_Type 1,Online,Meal Plan 2,Canceled
2,0,2,3,0,97,5,29,0,0,0,81,2018,0,Room_Type 1,Offline,Meal Plan 1,Not_Canceled
2,0,2,3,0,112,7,7,0,0,0,72,2018,1,Room_Type 1,Offline,Meal Plan 1,Not_Canceled
2,0,2,1,0,86,4,10,0,0,0,95,2018,1,Room_Type 1,Online,Not Selected,Canceled
2,1,1,3,0,78,3,3,0,0,0,60,2018,2,Room_Type 1,Offline,Meal Plan 1,Not_Canceled
1,0,1,1,0,247,6,6,0,0,0,90,2018,0,Room_Type 1,Offline,Meal Plan 2,Not_Canceled
2,0,2,1,0,29,3,5,0,0,0,87,2018,1,Room_Type 1,Offline,Meal Plan 1,Not_Canceled
2,0,0,3,0,17,8,24,0,0,0,165,2018,1,Room_Type 4,Online,Meal Plan 1,Not_Canceled
2,0,1,2,0,150,10,3,0,0,0,119,2018,2,Room_Type 1,Online,Meal Plan 1,Not_Canceled
2,0,2,2,0,36,12,18,0,0,0,88,2018,1,Room_Type 1,Online,Meal Plan 1,Not_Canceled
2,0,1,2,0,107,10,21,0,0,0,108,2018,1,Room_Type 1,Online,Not Selected,Not_Canceled
1,0,0,2,0,80,10,9,0,0,0,108,2017,0,Room_Type 4,Offline,Meal Plan 2,Not_Canceled
2,0,0,2,0,142,7,1,0,0,0,86,2018,1,Room_Type 1,Online,Not Selected,Not_Canceled
2,0,0,4,0,189,8,11,0,0,0,77,2017,3,Room_Type 1,Online,Meal Plan 1,Not_Canceled
2,0,2,6,0,125,8,3,0,0,0,111,2018,1,Room_Type 1,Online,Meal Plan 1,Not_Canceled
1,0,2,2,0,162,10,14,0,0,0,115,2018,0,Room_Type 1,Online,Meal Plan 1,Canceled
2,1,2,5,0,259,12,28,0,0,0,80,2018,3,Room_Type 1,Online,Meal Plan 1,Not_Canceled
1,0,0,1,0,8,4,5,0,0,0,95,2018,0,Room_Type 1,Online,Meal Plan 1,Canceled
2,0,1,0,0,0,10,3,1,0,3,75,2018,0,Room_Type 1,Corporate,Meal Plan 1,Not_Canceled
2,0,0,4,0,43,11,1,0,0,0,124,2018,3,Room_Type 1,Online,Meal Plan 2,Not_Canceled
2,1,2,1,0,118,8,14,0,0,0,140,2018,1,Room_Type 1,Online,Meal Plan 1,Not_Canceled
2,0,0,3,0,1,9,29,0,0,0,146,2018,0,Room_Type 1,Corporate,Meal Plan 2,Not_Canceled
2,0,0,2,0,142,12,22,0,0,0,79,2018,1,Room_Type 1,Online,Not Selected,Not_Canceled
2,2,0,2,0,326,12,30,0,0,0,189,2018,1,Room_Type 6,Online,Meal Plan 1,Canceled
1,0,0,2,0,103,4,19,0,0,0,115,2018,0,Room_Type 1,Online,Meal Plan 1,Canceled
2,0,0,4,0,149,7,12,0,0,0,99,2018,1,Room_Type 1,Online,Meal Plan 1,Not_Canceled
1,0,1,3,0,59,10,17,0,0,0,117,2018,2,Room_Type 1,Online,Meal Plan 1,Not_Canceled
1,0,0,3,0,25,5,10,0,0,0,129,2018,0,Room_Type 1,Online,Not Selected,Not_Canceled
2,0,1,2,0,68,4,4,0,0,0,96,2018,1,Room_Type 1,Online,Meal Plan 1,Not_Canceled
2,0,2,3,0,62,7,2,0,0,0,77,2017,1,Room_Type 1,Online,Meal Plan 1,Canceled
1,0,1,3,0,71,3,17,0,0,0,89,2018,1,Room_Type 4,Online,Meal Plan 1,Not_Canceled
2,0,0,1,0,0,2,10,0,0,0,106,2018,2,Room_Type 4,Online,Meal Plan 1,Not_Canceled
2,0,1,1,0,0,6,13,0,0,0,111,2018,1,Room_Type 1,Online,Meal Plan 1,Not_Canceled
2,0,1,0,0,29,8,8,0,0,0,139,2018,1,Room_Type 1,Online,Not Selected,Not_Canceled
1,0,2,5,0,101,7,3,0,0,0,104,2018,0,Room_Type 1,Online,Not Selected,Canceled
2,0,1,2,0,198,9,9,0,0,0,90,2018,0,Room_Type 1,Online,Meal Plan 1,Canceled
1,0,0,2,0,73,7,6,0,0,0,107,2018,0,Room_Type 1,Online,Not Selected,Canceled
2,0,2,5,0,127,3,19,0,0,0,95,2018,1,Room_Type 2,Online,Meal Plan 1,Canceled
3,0,1,0,0,21,5,15,0,0,0,211,2018,0,Room_Type 4,Online,Meal Plan 2,Canceled
2,0,1,3,1,196,9,5,0,0,0,116,2018,1,Room_Type 1,Online,Meal Plan 1,Canceled
2,0,0,2,0,11,8,16,0,0,0,102,2018,1,Room_Type 1,Online,Not Selected,Not_Canceled
2,0,2,2,0,39,1,1,0,0,0,91,2018,0,Room_Type 2,Online,Meal Plan 1,Not_Canceled
1,0,0,3,0,76,4,28,0,0,0,111,2018,1,Room_Type 1,Online,Meal Plan 1,Canceled
